"","Archipelago","Ocean","Island.Name","Alectoris.barbara","Alectoris.rufa","Coturnix.coturnix","Colinus.cristatus","Dendrocygna.bicolor","Dendrocygna.arborea","Oxyura.dominica","Oxyura.jamaicensis","Tadorna.ferruginea","Aix.sponsa","Anas.platyrhynchos","Anas.bahamensis","Marmaronetta.angustirostris","Nesoctites.micromegas","Melanerpes.herminieri","Melanerpes.portoricensis","Melanerpes.striatus","Melanerpes.radiolatus","Melanerpes.superciliaris","Xiphidiopicus.percussus","Dendrocopos.major","Colaptes.auratus","Colaptes.fernandinae","Campephilus.principalis","Upupa.epops","Priotelus.temnurus","Priotelus.roseigaster","Todus.multicolor","Todus.angustirostris","Todus.mexicanus","Todus.todus","Todus.subulatus","Halcyon.leucocephala","Megaceryle.torquata","Coccyzus.americanus","Coccyzus.minor","Hyetornis.pluvialis","Hyetornis.rufigularis","Saurothera.merlini","Saurothera.vetula","Saurothera.longirostris","Saurothera.vieilloti","Crotophaga.ani","Ara.cubensis","Ara.tricolor","Aratinga.euops","Aratinga.chloroptera.1","Aratinga.nana","Amazona.leucocephala","Amazona.collaria","Amazona.ventralis","Amazona.agilis","Amazona.vittata","Amazona.versicolor","Amazona.arausiaca","Amazona.imperialis","Cypseloides.niger","Streptoprocne.zonaris","Chaetura.martinica","Chaetura.cinereiventris","Tachornis.phoenicobia","Apus.alexandri","Apus.apus","Apus.unicolor","Apus.pallidus","Glaucis.hirsuta","Anthracothorax.mango","Anthracothorax.dominicus","Anthracothorax.viridis","Eulampis.jugularis","Eulampis.holosericeus","Orthorhyncus.cristatus","Chlorostilbon.ricordii","Chlorostilbon.swainsonii","Chlorostilbon.maugaeus","Cyanophaia.bicolor","Trochilus.polytmus","Mellisuga.helenae","Mellisuga.minima","Tyto.alba","Tyto.glaucops","Otus.lawrencii","Otus.nudipes","Glaucidium.siju","Speotyto.cunicularia","Pseudoscops.grammicus","Asio.stygius","Asio.otus","Asio.flammeus","Nyctibius.jamaicensis","Chordeiles.gundlachii","Siphonorhis.americanus","Siphonorhis.brewsteri","Caprimulgus.rufus","Caprimulgus.cubanensis","Caprimulgus.noctitherus","Caprimulgus.cayennensis","Columba.livia","Columba.palumbus","Columba.trocaz","Columba.bollii","Columba.junoniae","Columba.leucocephala","Columba.squamosa","Columba.caribaea","Columba.inornata","Streptopelia.turtur","Streptopelia.decaocto","Zenaida.macroura","Zenaida.auriculata","Zenaida.aurita","Zenaida.asiatica","Columbina.passerina","Leptotila.wellsi","Leptotila.jamaicensis","Geotrygon.caniceps","Geotrygon.versicolor","Geotrygon.chrysia","Geotrygon.mystacea","Geotrygon.montana","Starnoenas.cyanocephala","Chlamydotis.undulata","Grus.canadensis","Aramus.guarauna","Rallus.longirostris","Rallus.elegans","Amaurolimnas.concolor","Porzana.flaviventer","Cyanolimnas.cerverai","Pardirallus.maculatus","Porphyrio.martinicus","Gallinula.chloropus","Fulica.atra","Fulica.americana","Fulica.caribaea","Pterocles.orientalis","Scolopax.rusticola","Gallinago.gallinago","Catoptrophorus.semipalmatus","Jacana.spinosa","Burhinus.oedicnemus","Burhinus.bistriatus","Haematopus.meadewaldoi","Haematopus.palliatus","Himantopus.himantopus","Himantopus.mexicanus","Charadrius.wilsonia","Charadrius.vociferus","Charadrius.alexandrinus","Charadrius.collaris","Cursorius.cursor","Larus.argentatus","Larus.cachinnans","Larus.genei","Larus.atricilla","Sterna.nilotica","Sterna.maxima","Sterna.sandvicensis","Sterna.dougallii","Sterna.hirundo","Sterna.antillarum","Sterna.anaethetus","Pandion.haliaetus","Chondrohierax.uncinatus","Rostrhamus.sociabilis","Milvus.milvus","Neophron.percnopterus","Accipiter.nisus","Accipiter.striatus","Accipiter.gundlachi","Buteogallus.anthracinus","Buteo.ridgwayi","Buteo.platypterus","Buteo.jamaicensis","Buteo.buteo","Polyborus.plancus","Falco.tinnunculus","Falco.sparverius","Falco.eleonorae","Falco.peregrinus","Falco.pelegrinoides","Tachybaptus.dominicus","Podilymbus.podiceps","Phaethon.aethereus","Phaethon.lepturus","Sula.sula","Sula.leucogaster","Anhinga.anhinga","Phalacrocorax.brasilianus","Phalacrocorax.auritus","Egretta.rufescens","Egretta.tricolor","Egretta.caerulea","Egretta.garzetta","Egretta.thula","Ardea.herodias","Ardea.purpurea","Casmerodius.albus","Bubulcus.ibis","Butorides.virescens","Nyctanassa.violacea","Nycticorax.nycticorax","Ixobrychus.minutus","Ixobrychus.exilis","Phoenicopterus.ruber","Eudocimus.albus","Plegadis.falcinellus","Ajaia.ajaja","Pelecanus.occidentalis","Cathartes.aura","Mycteria.americana","Fregata.magnificens","Pterodroma.madeira","Pterodroma.feae","Pterodroma.hasitata","Bulweria.bulwerii","Calonectris.diomedea","Puffinus.puffinus","Puffinus.assimilis","Pelagodroma.marina","Hydrobates.pelagicus","Oceanodroma.castro","Myiopagis.cotta","Elaenia.martinica","Elaenia.flavogaster","Elaenia.fallax","Lathrotriccus.euleri","Contopus.caribaeus","Contopus.latirostris","Myiarchus.barbirostris","Myiarchus.nugator","Myiarchus.validus","Myiarchus.sagrae","Myiarchus.stolidus","Myiarchus.antillarum","Myiarchus.oberi","Tyrannus.dominicensis","Tyrannus.caudifasciatus","Tyrannus.cubensis","Pachyramphus.niger","Lanius.excubitor","Vireo.gundlachii","Vireo.crassirostris","Vireo.modestus","Vireo.nanus","Vireo.latimeri","Vireo.osburni","Vireo.altiloquus","Vireo.magister","Pyrrhocorax.pyrrhocorax","Corvus.palmarum","Corvus.jamaicensis","Corvus.nasicus","Corvus.leucognaphalus","Corvus.ruficollis","Corvus.corax","Dulus.dominicus","Cichlherminia.lherminieri","Myadestes.elisabeth","Myadestes.genibarbis","Turdus.merula","Turdus.aurantius","Turdus.ravidus","Turdus.plumbeus","Turdus.fumigatus","Turdus.nudigenis","Turdus.jamaicensis","Turdus.swalesi","Erithacus.rubecula","Saxicola.dacotiae","Sturnus.vulgaris","Mimus.polyglottos","Mimus.gilvus","Mimus.gundlachii","Cinclocerthia.ruficauda","Cinclocerthia.gutturalis","Ramphocinclus.brachyurus","Margarops.fuscus","Margarops.fuscatus","Ferminia.cerverai","Troglodytes.aedon","Polioptila.lembeyei","Parus.caeruleus","Tachycineta.euchrysea","Progne.cryptoleuca","Progne.dominicensis","Hirundo.fulva","Regulus.regulus","Regulus.teneriffae","Regulus.ignicapillus","Acrocephalus.brevipennis","Phylloscopus.collybita","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.conspicillata","Eremopterix.nigriceps","Ammomanes.cincturus","Alaemon.alaudipes","Calandrella.rufescens","Alauda.razae","Passer.domesticus","Passer.hispaniolensis","Passer.iagoensis","Passer.montanus","Petronia.petronia","Motacilla.cinerea","Anthus.berthelotii","Fringilla.coelebs","Fringilla.teydea","Serinus.serinus","Serinus.canaria","Carduelis.chloris","Carduelis.dominicensis","Carduelis.carduelis","Carduelis.cannabina","Rhodopechys.githaginea","Loxia.leucoptera","Pyrrhula.pyrrhula","Miliaria.calandra","Zonotrichia.capensis","Ammodramus.savannarum","Torreornis.inexpectata","Dendroica.petechia","Dendroica.adelaidae","Dendroica.pityophila","Dendroica.pinus","Dendroica.vitellina","Dendroica.plumbea","Dendroica.pharetra","Dendroica.angelae","Microligea.palustris","Teretistris.fernandinae","Teretistris.fornsi","Leucopeza.semperi","Xenoligea.montana","Coereba.flaveola","Nesospingus.speculiferus","Phaenicophilus.palmarum","Phaenicophilus.poliocephalus","Calyptophilus.frugivorus","Spindalis.zena","Euphonia.jamaica","Euphonia.musica","Tangara.cucullata","Cyanerpes.cyaneus","Volatinia.jacarina","Sporophila.nigricollis","Melopyrrha.nigra","Tiaris.canora","Tiaris.olivacea","Tiaris.bicolor","Loxipasser.anoxanthus","Loxigilla.portoricensis","Loxigilla.violacea","Loxigilla.noctis","Euneornis.campestris","Melanospiza.richardsoni","Saltator.albicollis","Icterus.leucopteryx","Icterus.dominicensis","Icterus.oberi","Icterus.bonana","Icterus.laudabilis","Nesopsar.nigerrimus","Agelaius.phoeniceus","Agelaius.humeralis","Agelaius.xanthomus","Sturnella.magna","Dives.atroviolacea","Quiscalus.niger","Quiscalus.lugubris","Molothrus.bonariensis","Amazona.martinicana","Amazona.violacea","Ara.atwoodi","Ara.erythrocephala","Ara.gossei","Ara.guadeloupensis","Aratinga.labati","Chlorostilbon.elegans","Pterodroma.caribbaea"
"1","Canaries","Atlantic","Tenerife",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Canaries","Atlantic","Gomera",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Canaries","Atlantic","La.Palma",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Canaries","Atlantic","El.Hierro",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Canaries","Atlantic","Gran.Canaria",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Canaries","Atlantic","Fuerteventura",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
